template_id_1,template_1,template_id_2,template_2,similarity
2,<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,0.974885
9,<*> <*> <*> WARN dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*>,9,081109 <*> <*> WARN dfs.DataNode$DataXceiver: <*> exception while serving <*> to <*>,0.971683
6,<*> <*> 13 INFO dfs.DataBlockScanner: Verification succeeded for <*>,6,081109 <*> 13 INFO dfs.DataBlockScanner: Verification succeeded for <*>,0.971306
1,<*> <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,1,081109 <*> <*> INFO dfs.DataNode$PacketResponder: PacketResponder <*> for block <*> terminating,0.970835
3,<*> <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,3,081109 <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,0.963546
4,<*> <*> <*> INFO dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*>,4,081109 <*> <*> INFO dfs.DataNode$DataXceiver: Receiving block <*> src: <*> dest: <*>,0.96032
11,081110 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,11,<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,0.949206
2,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,0.945025
7,<*> <*> <*> INFO dfs.FSDataset: Deleting block <*> file <*>,7,<*> <*> 19 INFO dfs.FSDataset: Deleting block <*> file <*>,0.925902
3,081109 <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size <*> from <*>,3,081109 <*> <*> INFO dfs.DataNode$PacketResponder: Received block <*> of size 67108864 from <*>,0.923402
2,<*> <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2,081109 <*> <*> INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,0.92129
